2015,,,
UF = Rondônia,Admitidos,Desligados,Saldo
"  Agropecuária, extração vegetal, caça e pesca",240,-249,-9
Total,"  6,182,946 ","- 6,193,801 ",-11
,,,
,,,
UF = Paraná,Admitidos,Desligados,Saldo
Extrativa mineral,2,-2,33
Indústria de transformação,360,-369,-9
Serviços Industriais de Utilidade Pública,5,-5,-
Construção Civil,153,-151,2
Comércio,413,-401,12
Serviços,562,-533,29
Administração Pública,4,-3,806
"  Agropecuária, extração vegetal, caça e pesca",56,-57,-555
Total,"  1,555,579 ","- 1,520,871 ",35
,,,
,,,
UF = Santa Catarina,Admitidos,Desligados,Saldo
Extrativa mineral,3,-3,101
Indústria de transformação,373,-369,4
Serviços Industriais de Utilidade Pública,6,-5,1
Construção Civil,108,-104,4
Comércio,292,-282,11
Serviços,413,-385,28
Administração Pública,13,-12,711
"  Agropecuária, extração vegetal, caça e pesca",45,-45,-238
Total,"  1,252,743 ","- 1,204,922 ",48
,,,
,,,
UF = Rio Grande do Sul,Admitidos,Desligados,Saldo
Extrativa mineral,3,-3,411
Indústria de transformação,374,-393,-18
Serviços Industriais de Utilidade Pública,8,-7,374
Construção Civil,138,-141,-3
Comércio,392,-380,12
Serviços,514,-485,29
Administração Pública,5,-5,-430
"  Agropecuária, extração vegetal, caça e pesca",72,-72,-474
Total,"  1,506,348 ","- 1,486,116 ",20
,,,
,,,
UF = Mato Grosso do Sul,Admitidos,Desligados,Saldo
Extrativa mineral,775,-806,-31
Indústria de transformação,50,-51,-460
Serviços Industriais de Utilidade Pública,2,-2,357
Construção Civil,33,-42,-9
Comércio,73,-72,1
Serviços,90,-85,5
Administração Pública,94,-109,-15
"  Agropecuária, extração vegetal, caça e pesca",38,-38,-177
Total,287,-290,-3
,,,
,,,
UF = Mato Grosso,Admitidos,Desligados,Saldo
Extrativa mineral,2,-2,-387
Indústria de transformação,65,-68,-3
Serviços Industriais de Utilidade Pública,2,-2,73
Construção Civil,62,-66,-4
Comércio,131,-129,1
Serviços,111,-109,2
Administração Pública,214,-174,40
"  Agropecuária, extração vegetal, caça e pesca",86,-86,-254
Total,458,-462,-5
,,,
,,,
UF = Goiás,Admitidos,Desligados,Saldo
Extrativa mineral,2,-3,-207
Indústria de transformação,146,-146,-478
Serviços Industriais de Utilidade Pública,3,-3,216
Construção Civil,99,-106,-7
Comércio,175,-170,4
Serviços,243,-232,11
Administração Pública,403,-448,-45
"  Agropecuária, extração vegetal, caça e pesca",65,-66,-865
Total,735,-727,8
,,,
,,,
UF = Distrito Federal,Admitidos,Desligados,Saldo
